macula_id	gloss
o010030080102	he.hid.himself
o010030080111	the
o010030080112	man
o010030080121	and
o010030080122	wife
o010030080123	his
o010030080131	from
o010030080132	before
o010030080141	Yahweh
o010030080151	God
o010030080161	among
o010030080162	
o010030080171	the.tree[s]
o010030080181	of
o010030080182	the.garden
o010030090011	and
o010030090012	he.called
o010030090021	Yahweh
o010030090031	God
o010030090041	to
o010030090051	the
o010030090052	man
o010030090061	and
o010030090062	he.said
o010030090071	to
o010030090072	him
o010030090081	where.[are]
o010030090082	you?
o010030100011	and
o010030100012	he.said
o010030100021	(et)
o010030100031	sound
o010030100032	your
o010030100041	I.heard
o010030100051	in
o010030100051ה	the
o010030100052	garden
o010030100061	and
o010030100062	I.was.afraid
o010030100071	(dm)
o010030100081	[was].naked
o010030100091	I
o010030100101	and
o010030100102	I.hid.myself
o010030110011	and
o010030110012	he.said
o010030110021	who?
o010030110031	did.he.tell
o010030110041	to
o010030110042	you
o010030110051	(dm).that
o010030110061	[were].naked
o010030110071	you
o010030110081	?
o010030110082	from
o010030110091	the
o010030110092	tree
o010030110101	which
o010030110111	I
o010030110112	commanded.you
o010030110121	to
o010030110122	not
o010030110131	to.eat
o010030110141	from
o010030110142	it
o010030110151	have.you.eaten
o010030120011	and
o010030120012	he.said
o010030120021	the
o010030120022	man
o010030120031	the
o010030120032	woman
o010030120041	whom
o010030120051	you.put
o010030120061	with
o010030120062	me
o010030120071	she
o010030120081	she.gave
o010030120091	to
o010030120092	me
o010030120101	from
o010030120111	the
o010030120112	tree
o010030120121	and
o010030120122	I.ate
o010030130011	and
o010030130012	he.said
o010030130021	Yahweh
